date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by
24-09-2023,32,Palestina,Nur Shams R.C.,Tulkarm,West Bank,24-09-2023,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
24-09-2023,21,Palestina,Nur Shams R.C.,Tulkarm,West Bank,24-09-2023,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
22-09-2023,16,Palestina,Kfar Dan,Jenin,West Bank,22-09-2023,M,,al-Yamun,Jenin,gunfire,live ammunition,Israeli security forces
20-09-2023,19,Palestina,'Aqbat Jaber R.C.,Jericho,West Bank,20-09-2023,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
19-09-2023,15,Palestina,Jenin,Jenin,West Bank,19-09-2023,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
19-09-2023,29,Palestina,Jenin,Jenin,West Bank,20-09-2023,M,,Jenin,Jenin,gunfire,missile,Israeli security forces
19-09-2023,24,Palestina,Gaza,Gaza,Gaza,19-09-2023,M,No,Khan Yunis,Khan Yunis,gunfire,live ammunition,Israeli security forces
19-09-2023,25,Palestina,Jenin,Jenin,West Bank,19-09-2023,M,,Jenin,Jenin,gunfire,missile,Israeli security forces
19-09-2023,23,Palestina,Jenin,Jenin,West Bank,19-09-2023,M,,Jenin,Jenin,gunfire,missile,Israeli security forces
09-09-2023,15,Palestina,al-'Arrub R.C.,Hebron,West Bank,09-09-2023,M,,al-'Arrub Camp,Hebron,gunfire,live ammunition,Israeli security forces
05-09-2023,16,Palestina,Argaman,Jericho,West Bank,05-09-2023,M,,a-Zbeidat,Jericho,gunfire,live ammunition,Israeli security forces
05-09-2023,21,Palestina,Nur Shams R.C.,Tulkarm,West Bank,05-09-2023,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
01-09-2023,45,Palestina,'Aqqabah,Tubas,West Bank,01-09-2023,M,,Aqqaba,Tubas,gunfire,live ammunition,Israeli security forces
31-08-2023,41,Palestina,Beit Sira,Ramallah and Al-Bireh,West Bank,31-08-2023,M,,Deir Ammar Camp,Ramallah and Al-Bireh,gunfire,live ammunition,Israeli security forces
30-08-2023,14,Palestina,al-Musrarah,Jerusalem,West Bank,30-08-2023,M,,Beit Hanina,Jerusalem,stabbing,live ammunition,Israeli security forces
22-08-2023,17,Palestina,a-Zababidah,Jenin,West Bank,22-08-2023,M,,a-Zababida,Jenin,gunfire,live ammunition,Israeli security forces
21-08-2023,40,Israeli,Beit Hagai,Hebron,West Bank,21-08-2023,F,,Beit Hagai,Hebron,gunfire,live ammunition,Palestina civilians
19-08-2023,28,Israeli,Huwarah,Nablus,West Bank,19-08-2023,M,,HaDarom,Israel,gunfire,live ammunition,Palestina civilians
19-08-2023,60,Israeli,Huwarah,Nablus,West Bank,19-08-2023,M,,HaDarom,Israel,gunfire,live ammunition,Palestina civilians
17-08-2023,32,Palestina,Jenin,Jenin,West Bank,17-08-2023,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
16-08-2023,19,Palestina,Balata R.C.,Nablus,West Bank,19-08-2023,M,,Balata R.C.,Nablus,gunfire,live ammunition,Israeli security forces
15-08-2023,16,Palestina,'Aqbat Jaber R.C.,Jericho,West Bank,15-08-2023,M,,Jericho,Jericho,gunfire,live ammunition,Israeli security forces
15-08-2023,25,Palestina,'Aqbat Jaber R.C.,Jericho,West Bank,15-08-2023,M,,'Aqbat Jaber R.C.,Jericho,gunfire,live ammunition,Israeli security forces
11-08-2023,24,Palestina,Tulkarm,Tulkarm,West Bank,11-08-2023,M,,Tulkarm,Tulkarm,gunfire,live ammunition,Israeli security forces
10-08-2023,24,Palestina,Nablus,Nablus,West Bank,19-08-2023,M,,Ein Beit al-Maa R.C.,Nablus,gunfire,live ammunition,Israeli security forces
06-08-2023,21,Palestina,Bir al-Basha,Jenin,West Bank,06-08-2023,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
06-08-2023,26,Palestina,Bir al-Basha,Jenin,West Bank,06-08-2023,M,,Jenin,Jenin,gunfire,live ammunition,Israeli security forces
06-08-2023,16,Palestina,Bir al-Basha,Jenin,West Bank,06-08-2023,M,,Jalqamus,Jenin,gunfire,live ammunition,Israeli security forces
05-08-2023,22,Palestina,Tel Aviv,Israel,Israel,05-08-2023,M,,Rummana,Jenin,gunfire,live ammunition,Israeli civilians
05-08-2023,42,Israeli,Tel Aviv,Israel,Israel,05-08-2023,M,,Bat Yam,Israel,gunfire,live ammunition,Palestina civilians
04-08-2023,18,Palestina,Burqah,Ramallah and Al-Bireh,West Bank,04-08-2023,M,,Burka,Ramallah and Al-Bireh,gunfire,live ammunition,Israeli civilians
04-08-2023,17,Palestina,Tulkarm,Tulkarm,West Bank,04-08-2023,M,,Nur Shams R.C.,Tulkarm,gunfire,live ammunition,Israeli security forces
02-08-2023,17,Palestina,Ofra,Ramallah and Al-Bireh,West Bank,07-08-2023,M,,Silwad,Ramallah and Al-Bireh,gunfire,live ammunition,Israeli security forces
01-08-2023,20,Palestina,Ma'ale Adumim,Jerusalem,West Bank,01-08-2023,M,,al-'Eizariyah,Jerusalem,gunfire,live ammunition,Israeli security forces
01-08-2023,15,Palestina,Mitzpe Eshtamoa,Hebron,West Bank,01-08-2023,M,,a-Samu',Hebron,gunfire,live ammunition,Israeli security forces
26-07-2023,23,Palestina,'Ein Beit al-Maa R.C.,Nablus,West Bank,26-07-2023,M,,Ein Beit al-Maa R.C.,Nablus,gunfire,live ammunition,Israeli security forces
25-07-2023,32,Palestina,Nablus,Nablus,West Bank,25-07-2023,M,,Nablus,Nablus,gunfire,live ammunition,Israeli security forces
